epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,6207.15,1.11255,0.81186,1.07143,1,0.91204,0.995,0.52248,1.58854,1.21875,1.09184,0.002327,0.002327,0.002327
110,6224.45,1.0357,0.85652,1.0322,1,0.92967,0.995,0.54761,1.40316,1.28809,1.08298,0.00230225,0.00230225,0.00230225
111,6243.97,1.17407,0.89105,1.08649,0.91489,1,0.995,0.5715,1.41515,1.35128,1.15192,0.0022775,0.0022775,0.0022775
112,6260.27,1.07662,0.83611,1.01368,0.91489,1,0.995,0.5715,1.41515,1.35128,1.15192,0.00225275,0.00225275,0.00225275
113,6277.24,1.11674,0.87032,1.0806,0.93357,1,0.995,0.61317,1.45238,1.26155,1.13692,0.002228,0.002228,0.002228
114,6292.63,1.10923,0.85752,1.0555,0.93357,1,0.995,0.61317,1.45238,1.26155,1.13692,0.00220325,0.00220325,0.00220325
115,6308.92,1.04998,0.8551,1.05183,0.94358,1,0.995,0.64832,1.58184,0.99069,1.02735,0.0021785,0.0021785,0.0021785
116,6323.44,1.13306,0.87495,1.02717,0.94358,1,0.995,0.64832,1.58184,0.99069,1.02735,0.00215375,0.00215375,0.00215375
117,6338.38,1.08676,0.88192,1.0482,0.96992,1,0.995,0.64933,1.65893,0.91517,1.03281,0.002129,0.002129,0.002129
118,6353.37,0.98881,0.85611,0.99917,0.97206,1,0.995,0.6965,1.59759,0.93536,1.05541,0.00210425,0.00210425,0.00210425
119,6369.4,1.02485,0.92649,1.08111,0.97206,1,0.995,0.6965,1.59759,0.93536,1.05541,0.0020795,0.0020795,0.0020795
120,6383.54,1.10069,0.86362,1.0417,0.98039,1,0.995,0.6965,1.47086,0.96627,1.10278,0.00205475,0.00205475,0.00205475
121,6397.66,1.0828,0.89856,1.06785,0.98039,1,0.995,0.6965,1.47086,0.96627,1.10278,0.00203,0.00203,0.00203
